Line, Trap Number, Type, Catch, Comment -------------------
NEW,DCRA04,A24,,
NEW,DCRA05,A24,,
NEW,DCRA06,A24,,
NEW,DCRA07,A24,,
NEW,DCRA08,A24,,
NEW,DCRA09,A24,,
NEW,DCRA10,A24,,
NEW,DCRA11,A24,,
NEW,DCRA12,A24,,
NEW,DCRA13,A24,,
NEW,DCRA14,A24,,
NEW,DCRA15,A24,,
NEW,DCRA16,A24,,
NEW,DCRA17,A24,,
NEW,DCRA18,A24,,
NEW,DCRA19,A24,,
NEW,DCRA20,A24,,
NEW,DCRA21,A24,,
NEW,DCRA22,A24,,
NEW,DCRA23,A24,,
NEW,DCRA24,A24,,
NEW,DCRA25,A24,,
NEW,DCRA26,A24,,
NEW,DCRA27,A24,,
NEW,DCRA28,A24,,
NEW,DCRA29,A24,,
NEW,DCRA30,A24,,
NEW,HF01,DOC150 Double,,
NEW,HF02,DOC150 Double,,
NEW,HF03,DOC150 Double,,
NEW,HF04,DOC150 Double,,
NEW,HF05,DOC150 Double,,
NEW,HF06,DOC150 Double,,
NEW,HF07,DOC150 Double,,
NEW,HF08,DOC150 Double,,
NEW,HF09,DOC150 Double,,
NEW,HF10,DOC150 Double,,
NEW,HF11,DOC150 Double,,
NEW,HF12,DOC150 Double,,
NEW,HF13,DOC150 Double,,
NEW,HF14,DOC150 Double,,
NEW,ODS01,DOC150 Double,,
NEW,ODS02,DOC150 Double,,
NEW,ODS03,DOC150 Double,,
NEW,ODS04,DOC150 Double,,
NEW,ODS05,DOC150 Double,,
NEW,ODS06,DOC150 Double,,
NEW,ODS07,DOC150 Double,,
NEW,ODS08,DOC150 Double,,
NEW,ODS09,DOC150 Double,,
NEW,ODS11,DOC150 Double,,
NEW,ODS12,DOC150 Double,,
NEW,TR01,DOC150 Double,,
NEW,TR02,DOC150 Double,,
NEW,TR03,DOC150 Double,,
NEW,TR04,DOC150 Double,,
NEW,TR05,DOC150 Double,,
NEW,TR06,DOC150 Double,,
NEW,WR01,DOC150 Double,,
NEW,WR02,DOC150 Double,,
NEW,WR03,DOC150 Double,,
NEW,WR04,DOC150 Double,,
NEW,WR05,DOC150 Double,,
NEW,WR05A GRAV PIT TRAP,DOC150 Double,,
NEW,WR06,DOC150 Double,,
NEW,WR07,DOC150 Double,,
NEW,WR08,DOC150 Double,,
NEW,WR09,DOC150 Double,,
NEW,WR10,DOC150 Double,,
NEW,WR11,DOC150 Double,,
NEW,WR12,DOC150 Double,,
NEW,WR13,DOC150 Double,,
NEW,WR14,DOC150 Double,,
NEW,WR15,DOC150 Double,,
NEW,WR16,DOC150 Double,,
NEW,WR17,DOC150 Double,,
NEW,WR18,DOC150 Double,,
NEW,WR19,DOC150 Double,,
NEW,WR20,DOC150 Double,,
NEW,WR21,DOC150 Double,,
NEW,WR22,DOC150 Double,,
NEW,WR23,DOC150 Double,,
,,TEAM, DATE, Please send to:
,,,, stanleymulvany@gmail.com
,,,,S Mulvany PO Box 6071
,,,,Invercargill 9841
